Race,Driver,LapNumber,Stint,Compound,TyreLife,Normalized_TyreLife,LapTime_Sec,Position,GapToAhead_Sec,GapToBehind_Sec,TrackTemp_C,AirTemp_C,IsPitInLap,PitNextLap
Bahrain Grand Prix,HAM,19,2,HARD,1,0.0286,91.488,17,0.873,2.878,36.5,28.0,0,0
Bahrain Grand Prix,HAM,20,2,HARD,2,0.0571,91.695,13,4.864,0.694,43.4,25.3,0,0
Bahrain Grand Prix,HAM,21,2,HARD,3,0.0857,91.793,18,1.248,1.476,34.4,30.0,0,0
Bahrain Grand Prix,HAM,22,2,HARD,4,0.1143,91.768,3,4.555,0.705,34.2,29.5,0,0
Bahrain Grand Prix,HAM,23,2,HARD,5,0.1429,91.807,8,1.264,3.411,35.8,22.3,0,0
Bahrain Grand Prix,HAM,24,2,HARD,6,0.1714,92.159,5,4.885,4.938,40.5,25.4,0,0
Bahrain Grand Prix,HAM,25,2,HARD,7,0.2,92.232,16,1.232,4.599,42.3,29.5,0,0
Bahrain Grand Prix,HAM,26,2,HARD,8,0.2286,91.931,5,3.26,2.382,44.0,28.7,0,0
Bahrain Grand Prix,HAM,27,2,HARD,9,0.2571,92.45,15,1.177,3.174,35.7,29.7,0,0
Bahrain Grand Prix,HAM,28,2,HARD,10,0.2857,92.117,17,4.272,2.609,36.2,22.7,0,0
Bahrain Grand Prix,HAM,29,2,HARD,11,0.3143,92.316,5,3.768,3.907,35.7,22.4,0,0
Bahrain Grand Prix,HAM,30,2,HARD,12,0.3429,92.407,9,1.081,4.793,39.1,22.3,0,0
Bahrain Grand Prix,HAM,31,2,HARD,13,0.3714,92.74,8,0.6,2.742,37.1,28.3,0,0
Bahrain Grand Prix,HAM,32,2,HARD,14,0.4,92.94,18,4.335,2.984,38.4,28.8,0,0
Bahrain Grand Prix,HAM,33,2,HARD,15,0.4286,92.38,15,2.392,4.031,39.6,28.1,0,0
Bahrain Grand Prix,HAM,34,2,HARD,16,0.4571,92.648,7,1.114,0.565,35.3,25.9,0,0
Bahrain Grand Prix,HAM,35,2,HARD,17,0.4857,92.499,2,2.067,2.813,41.8,24.0,0,0
Bahrain Grand Prix,HAM,36,2,HARD,18,0.5143,92.365,10,4.381,4.773,32.2,29.3,0,0
Bahrain Grand Prix,HAM,37,2,HARD,19,0.5429,92.529,5,4.91,2.717,34.9,26.3,0,0
Bahrain Grand Prix,HAM,38,2,HARD,20,0.5714,93.021,16,2.037,2.918,36.9,25.8,0,0
Bahrain Grand Prix,HAM,39,2,HARD,21,0.6,93.518,4,1.318,2.056,43.5,24.7,0,0
Bahrain Grand Prix,HAM,40,2,HARD,22,0.6286,92.992,18,3.209,1.507,42.3,23.5,0,0
Bahrain Grand Prix,HAM,41,2,HARD,23,0.6571,93.216,6,1.043,2.574,33.1,23.6,0,0
Bahrain Grand Prix,HAM,42,2,HARD,24,0.6857,93.336,14,1.985,1.947,31.4,24.8,0,0
Bahrain Grand Prix,HAM,43,2,HARD,25,0.7143,93.465,11,4.644,0.775,34.2,28.1,0,0
Bahrain Grand Prix,HAM,44,2,HARD,26,0.7429,94.008,17,3.188,4.938,38.0,29.2,0,0
Bahrain Grand Prix,HAM,45,2,HARD,27,0.7714,93.787,14,2.581,3.864,30.6,22.5,0,0
Bahrain Grand Prix,HAM,46,2,HARD,28,0.8,93.48,7,3.592,4.3,41.2,20.3,0,0
Bahrain Grand Prix,HAM,47,2,HARD,29,0.8286,93.665,19,1.591,1.712,35.7,20.2,0,0
Bahrain Grand Prix,HAM,48,2,HARD,30,0.8571,94.06,17,1.452,1.974,31.8,28.9,0,0
Bahrain Grand Prix,HAM,49,2,HARD,31,0.8857,94.337,3,3.42,2.658,38.8,27.4,0,0
Bahrain Grand Prix,HAM,50,2,HARD,32,0.9143,94.215,15,3.854,2.442,31.9,22.8,0,0
Bahrain Grand Prix,HAM,51,2,HARD,33,0.9429,94.424,2,1.6,2.742,35.0,29.3,0,0
Bahrain Grand Prix,HAM,52,2,HARD,34,0.9714,93.827,6,2.144,2.695,42.8,20.9,0,0
Bahrain Grand Prix,LEC,1,1,SOFT,1,0.0286,87.775,4,4.988,4.535,38.6,29.2,0,0
Bahrain Grand Prix,LEC,2,1,SOFT,2,0.0571,88.652,15,4.177,1.661,32.6,26.7,0,0
Bahrain Grand Prix,LEC,3,1,SOFT,3,0.0857,88.586,8,2.645,4.274,33.1,29.7,0,0
Bahrain Grand Prix,LEC,4,1,SOFT,4,0.1143,88.829,4,2.414,2.784,33.6,21.1,0,0
Bahrain Grand Prix,LEC,5,1,SOFT,5,0.1429,88.34,5,2.777,4.694,34.8,25.9,0,0
Bahrain Grand Prix,LEC,6,1,SOFT,6,0.1714,89.0,6,2.015,1.105,31.0,29.9,0,0
Bahrain Grand Prix,LEC,7,1,SOFT,7,0.2,89.133,1,1.125,0.512,31.8,24.7,0,0
Bahrain Grand Prix,LEC,8,1,SOFT,8,0.2286,88.817,6,2.353,2.07,43.9,28.3,0,0
Bahrain Grand Prix,LEC,9,1,SOFT,9,0.2571,89.083,12,2.207,4.669,40.8,20.5,0,0
Bahrain Grand Prix,LEC,10,1,SOFT,10,0.2857,89.143,8,4.226,3.877,42.0,28.3,0,0
Bahrain Grand Prix,LEC,11,1,SOFT,11,0.3143,89.057,14,2.854,2.115,43.2,23.9,0,0
Bahrain Grand Prix,LEC,12,1,SOFT,12,0.3429,89.111,8,2.534,3.712,43.5,26.2,0,0
Bahrain Grand Prix,LEC,13,1,SOFT,13,0.3714,88.779,1,1.545,4.548,35.8,25.4,0,0
Bahrain Grand Prix,LEC,14,1,SOFT,14,0.4,89.819,8,1.531,2.943,36.5,23.3,0,0
Bahrain Grand Prix,LEC,15,1,SOFT,15,0.4286,89.75,15,4.454,2.729,41.1,25.7,0,0
Bahrain Grand Prix,LEC,16,1,SOFT,16,0.4571,89.874,6,3.886,3.681,41.7,21.4,0,0
Bahrain Grand Prix,LEC,17,1,SOFT,17,0.4857,89.846,5,4.445,2.039,42.3,21.1,0,0
Bahrain Grand Prix,LEC,18,1,SOFT,18,0.5143,89.534,4,2.557,3.218,37.5,25.4,0,0
Bahrain Grand Prix,LEC,19,1,SOFT,19,0.5429,89.198,13,3.74,3.385,40.4,25.4,0,0
Bahrain Grand Prix,LEC,20,1,SOFT,20,0.5714,89.825,11,3.196,4.221,44.4,23.4,0,0
Bahrain Grand Prix,LEC,21,1,SOFT,21,0.6,89.899,14,3.267,4.603,32.1,21.0,0,0
Bahrain Grand Prix,LEC,22,1,SOFT,22,0.6286,89.718,1,0.581,4.425,44.0,25.7,0,0
Bahrain Grand Prix,LEC,23,1,SOFT,23,0.6571,90.281,8,3.431,3.971,35.6,20.7,0,1
Bahrain Grand Prix,LEC,24,1,SOFT,24,0.6857,90.297,19,3.814,4.705,43.9,24.5,1,0
Bahrain Grand Prix,LEC,25,2,HARD,1,0.0286,89.836,15,0.746,2.008,42.0,20.0,0,0
Bahrain Grand Prix,LEC,26,2,HARD,2,0.0571,89.412,9,1.014,2.365,43.0,29.2,0,0
Bahrain Grand Prix,LEC,27,2,HARD,3,0.0857,88.972,17,3.142,0.648,43.7,22.5,0,0
Bahrain Grand Prix,LEC,28,2,HARD,4,0.1143,88.745,7,1.245,0.652,34.7,27.8,0,0
Bahrain Grand Prix,LEC,29,2,HARD,5,0.1429,89.294,18,3.486,1.301,44.4,21.5,0,0
Bahrain Grand Prix,LEC,30,2,HARD,6,0.1714,89.421,8,2.76,3.179,31.0,27.5,0,0
Bahrain Grand Prix,LEC,31,2,HARD,7,0.2,89.73,17,0.664,2.624,38.5,20.7,0,0
Bahrain Grand Prix,LEC,32,2,HARD,8,0.2286,89.725,14,3.713,2.874,38.0,24.8,0,0
Bahrain Grand Prix,LEC,33,2,HARD,9,0.2571,90.239,4,1.319,4.378,44.2,23.7,0,0
Bahrain Grand Prix,LEC,34,2,HARD,10,0.2857,89.916,10,4.538,2.87,42.0,29.8,0,0
Bahrain Grand Prix,LEC,35,2,HARD,11,0.3143,90.306,3,1.54,3.524,30.3,21.0,0,0
Bahrain Grand Prix,LEC,36,2,HARD,12,0.3429,89.537,15,3.062,4.494,38.4,27.2,0,0
Bahrain Grand Prix,LEC,37,2,HARD,13,0.3714,90.473,16,2.287,3.506,33.1,22.9,0,0
Bahrain Grand Prix,LEC,38,2,HARD,14,0.4,90.346,16,0.891,3.35,41.0,28.5,0,0
Bahrain Grand Prix,LEC,39,2,HARD,15,0.4286,90.663,1,4.178,2.038,33.9,23.8,0,0
Bahrain Grand Prix,LEC,40,2,HARD,16,0.4571,90.64,12,4.238,2.053,41.6,23.6,0,0
Bahrain Grand Prix,LEC,41,2,HARD,17,0.4857,90.389,12,1.131,4.408,37.3,28.9,0,0
Bahrain Grand Prix,LEC,42,2,HARD,18,0.5143,90.679,17,2.682,2.806,41.1,27.0,0,0
Bahrain Grand Prix,LEC,43,2,HARD,19,0.5429,90.301,11,2.398,1.095,43.5,26.9,0,0
Bahrain Grand Prix,LEC,44,2,HARD,20,0.5714,90.604,5,0.583,4.614,31.8,25.8,0,0
Bahrain Grand Prix,LEC,45,2,HARD,21,0.6,90.903,6,4.234,1.429,30.2,21.4,0,0
Bahrain Grand Prix,LEC,46,2,HARD,22,0.6286,90.455,6,3.795,1.628,39.5,24.9,0,0
Bahrain Grand Prix,LEC,47,2,HARD,23,0.6571,91.257,14,0.711,1.248,41.1,20.8,0,0
Bahrain Grand Prix,LEC,48,2,HARD,24,0.6857,91.105,4,3.969,0.807,42.6,24.4,0,0
Bahrain Grand Prix,LEC,49,2,HARD,25,0.7143,91.179,8,3.049,2.642,40.0,29.4,0,0
Bahrain Grand Prix,LEC,50,2,HARD,26,0.7429,91.309,5,2.677,1.715,38.1,21.6,0,0
Bahrain Grand Prix,LEC,51,2,HARD,27,0.7714,91.34,13,1.196,3.305,37.1,23.4,0,0
Bahrain Grand Prix,LEC,52,2,HARD,28,0.8,91.419,8,3.777,2.73,40.3,24.3,0,0
Bahrain Grand Prix,LEC,53,2,HARD,29,0.8286,91.618,5,0.511,4.855,30.1,21.0,0,0
Bahrain Grand Prix,LEC,54,2,HARD,30,0.8571,91.38,5,0.912,4.628,32.1,29.5,0,0
Bahrain Grand Prix,LEC,55,2,HARD,31,0.8857,91.271,16,4.428,3.795,42.1,26.6,0,0
Bahrain Grand Prix,NOR,1,1,SOFT,1,0.0286,91.637,12,1.495,4.945,44.2,20.4,0,0
Bahrain Grand Prix,NOR,2,1,SOFT,2,0.0571,91.881,7,0.653,3.638,34.5,29.2,0,0
Bahrain Grand Prix,NOR,3,1,SOFT,3,0.0857,91.905,18,2.398,4.079,41.2,20.5,0,0
Bahrain Grand Prix,NOR,4,1,SOFT,4,0.1143,92.273,7,0.667,3.183,33.5,21.2,0,0
Bahrain Grand Prix,NOR,5,1,SOFT,5,0.1429,91.335,2,4.482,2.886,36.6,24.0,0,0
Bahrain Grand Prix,NOR,6,1,SOFT,6,0.1714,92.427,4,4.058,1.934,39.4,28.9,0,0
Bahrain Grand Prix,NOR,7,1,SOFT,7,0.2,92.253,10,4.445,2.379,36.9,29.9,0,0
Bahrain Grand Prix,NOR,8,1,SOFT,8,0.2286,92.414,7,0.543,0.737,31.3,20.4,0,0
Bahrain Grand Prix,NOR,9,1,SOFT,9,0.2571,92.29,12,3.324,4.432,44.8,27.7,0,0
Bahrain Grand Prix,NOR,10,1,SOFT,10,0.2857,91.993,5,3.795,0.515,37.0,23.0,0,0
Bahrain Grand Prix,NOR,11,1,SOFT,11,0.3143,92.054,18,1.833,1.551,30.6,20.2,0,0
Bahrain Grand Prix,NOR,12,1,SOFT,12,0.3429,92.565,17,2.262,1.06,44.3,28.0,0,0
Bahrain Grand Prix,NOR,13,1,SOFT,13,0.3714,92.712,5,0.902,2.379,43.2,29.4,0,0
Bahrain Grand Prix,NOR,14,1,SOFT,14,0.4,93.311,7,4.96,1.543,44.1,26.5,0,0
Bahrain Grand Prix,NOR,15,1,SOFT,15,0.4286,92.647,19,2.807,1.538,32.6,22.2,0,0
Bahrain Grand Prix,NOR,16,1,SOFT,16,0.4571,93.032,6,4.103,3.334,33.2,25.2,0,0
Bahrain Grand Prix,NOR,17,1,SOFT,17,0.4857,92.818,17,1.283,2.283,41.4,27.0,0,0
Bahrain Grand Prix,NOR,18,1,SOFT,18,0.5143,93.139,6,3.303,3.865,30.5,28.9,0,0
Bahrain Grand Prix,NOR,19,1,SOFT,19,0.5429,93.039,5,0.912,4.449,34.0,21.3,0,0
Bahrain Grand Prix,NOR,20,1,SOFT,20,0.5714,93.285,8,4.692,3.808,34.2,22.5,0,0
Bahrain Grand Prix,NOR,21,1,SOFT,21,0.6,93.377,6,1.669,3.755,37.4,20.8,0,0
Bahrain Grand Prix,NOR,22,1,SOFT,22,0.6286,93.547,5,4.962,0.777,43.2,25.2,0,0
Bahrain Grand Prix,NOR,23,1,SOFT,23,0.6571,93.188,19,4.211,2.065,40.2,25.7,0,0
Bahrain Grand Prix,NOR,24,1,SOFT,24,0.6857,93.679,19,4.407,1.604,32.4,21.6,0,1
Bahrain Grand Prix,NOR,25,1,SOFT,25,0.7143,93.524,13,4.267,3.639,40.2,26.2,1,0
Bahrain Grand Prix,NOR,26,2,HARD,1,0.0286,92.331,11,4.826,2.595,43.2,20.1,0,0
Bahrain Grand Prix,NOR,27,2,HARD,2,0.0571,92.694,11,1.529,4.589,30.0,25.6,0,0
Bahrain Grand Prix,NOR,28,2,HARD,3,0.0857,92.451,2,1.792,3.276,44.7,26.3,0,0
Bahrain Grand Prix,NOR,29,2,HARD,4,0.1143,92.949,2,3.353,2.93,41.7,21.1,0,0
Bahrain Grand Prix,NOR,30,2,HARD,5,0.1429,92.876,2,2.038,3.347,44.0,21.0,0,0
Bahrain Grand Prix,NOR,31,2,HARD,6,0.1714,93.288,4,1.282,3.969,44.2,21.7,0,0
Bahrain Grand Prix,NOR,32,2,HARD,7,0.2,93.161,1,0.761,0.836,42.8,29.9,0,0
Bahrain Grand Prix,NOR,33,2,HARD,8,0.2286,93.298,15,4.86,3.873,32.0,27.6,0,0
Bahrain Grand Prix,NOR,34,2,HARD,9,0.2571,93.101,19,1.636,0.505,32.4,24.7,0,0
Bahrain Grand Prix,NOR,35,2,HARD,10,0.2857,92.705,4,2.418,2.531,32.5,27.9,0,0
Bahrain Grand Prix,NOR,36,2,HARD,11,0.3143,93.038,2,3.978,1.535,32.0,28.7,0,0
Bahrain Grand Prix,NOR,37,2,HARD,12,0.3429,93.551,12,0.641,3.791,43.6,28.6,0,0
Bahrain Grand Prix,NOR,38,2,HARD,13,0.3714,92.992,6,1.535,1.459,30.5,26.5,0,0
Bahrain Grand Prix,NOR,39,2,HARD,14,0.4,93.392,12,3.032,2.622,38.1,21.6,0,0
Bahrain Grand Prix,NOR,40,2,HARD,15,0.4286,93.574,18,3.925,3.318,32.0,20.3,0,0
Bahrain Grand Prix,NOR,41,2,HARD,16,0.4571,93.397,3,1.335,2.579,30.0,26.0,0,0
Bahrain Grand Prix,NOR,42,2,HARD,17,0.4857,93.417,9,1.402,2.712,31.0,25.8,0,0
Bahrain Grand Prix,NOR,43,2,HARD,18,0.5143,94.005,2,4.089,1.897,36.8,20.1,0,0
Bahrain Grand Prix,NOR,44,2,HARD,19,0.5429,93.89,14,4.886,3.748,39.9,27.6,0,0
Bahrain Grand Prix,NOR,45,2,HARD,20,0.5714,93.841,6,4.585,3.759,41.2,21.5,0,0
Bahrain Grand Prix,NOR,46,2,HARD,21,0.6,94.134,15,2.745,3.282,40.5,25.6,0,0
Bahrain Grand Prix,NOR,47,2,HARD,22,0.6286,93.946,18,1.969,2.83,31.3,23.5,0,0
Bahrain Grand Prix,NOR,48,2,HARD,23,0.6571,94.003,7,1.404,3.619,42.3,20.4,0,0
Bahrain Grand Prix,NOR,49,2,HARD,24,0.6857,94.263,12,0.971,3.364,40.6,20.3,0,0
Bahrain Grand Prix,NOR,50,2,HARD,25,0.7143,94.866,8,4.763,3.314,41.8,26.1,0,0
Bahrain Grand Prix,NOR,51,2,HARD,26,0.7429,94.583,7,3.474,2.989,39.0,27.8,0,0
Bahrain Grand Prix,NOR,52,2,HARD,27,0.7714,94.429,10,2.474,3.762,38.9,26.5,0,0
Bahrain Grand Prix,NOR,53,2,HARD,28,0.8,94.647,13,3.271,1.981,37.1,27.4,0,0
Bahrain Grand Prix,NOR,54,2,HARD,29,0.8286,94.687,19,1.228,0.594,39.8,23.3,0,0
Bahrain Grand Prix,NOR,55,2,HARD,30,0.8571,95.074,9,2.72,0.867,36.0,22.2,0,0
Bahrain Grand Prix,SAI,1,1,SOFT,1,0.0286,90.03,5,2.057,2.17,44.8,20.4,0,0
Bahrain Grand Prix,SAI,2,1,SOFT,2,0.0571,90.172,17,2.813,3.146,30.4,24.0,0,0
Bahrain Grand Prix,SAI,3,1,SOFT,3,0.0857,90.468,4,2.398,1.746,38.9,29.1,0,0
Bahrain Grand Prix,SAI,4,1,SOFT,4,0.1143,90.581,12,2.227,2.596,42.5,22.4,0,0
Bahrain Grand Prix,SAI,5,1,SOFT,5,0.1429,90.131,10,1.569,4.871,32.7,28.5,0,0
Bahrain Grand Prix,SAI,6,1,SOFT,6,0.1714,90.678,13,2.467,0.938,36.1,25.9,0,0
Bahrain Grand Prix,SAI,7,1,SOFT,7,0.2,90.863,7,1.236,2.26,44.5,22.6,0,0
Bahrain Grand Prix,SAI,8,1,SOFT,8,0.2286,90.712,5,0.541,3.148,39.0,24.0,0,0
Bahrain Grand Prix,SAI,9,1,SOFT,9,0.2571,90.379,10,0.831,1.264,37.8,23.4,0,0
Bahrain Grand Prix,SAI,10,1,SOFT,10,0.2857,90.46,9,2.439,1.619,39.3,27.1,0,0
Bahrain Grand Prix,SAI,11,1,SOFT,11,0.3143,90.643,11,3.814,3.487,37.1,28.4,0,0
Bahrain Grand Prix,SAI,12,1,SOFT,12,0.3429,90.723,12,2.509,4.389,38.4,25.4,0,0
Bahrain Grand Prix,SAI,13,1,SOFT,13,0.3714,90.81,1,1.049,2.535,44.0,23.2,0,0
Bahrain Grand Prix,SAI,14,1,SOFT,14,0.4,90.858,17,3.131,3.597,36.0,24.8,0,0
Bahrain Grand Prix,SAI,15,1,SOFT,15,0.4286,90.664,11,2.7,3.501,32.1,20.3,0,0
Bahrain Grand Prix,SAI,16,1,SOFT,16,0.4571,91.256,13,1.146,4.729,41.0,21.6,0,0
Bahrain Grand Prix,SAI,17,1,SOFT,17,0.4857,91.36,6,4.407,1.297,40.4,28.4,0,1
Bahrain Grand Prix,SAI,18,1,SOFT,18,0.5143,91.088,11,3.575,2.737,39.3,28.7,1,0
Bahrain Grand Prix,SAI,19,2,HARD,1,0.0286,90.618,8,4.08,4.634,39.0,29.4,0,0
Bahrain Grand Prix,SAI,20,2,HARD,2,0.0571,90.827,14,2.272,3.431,31.6,26.6,0,0
Bahrain Grand Prix,SAI,21,2,HARD,3,0.0857,90.874,16,3.886,0.907,34.3,21.1,0,0
Bahrain Grand Prix,SAI,22,2,HARD,4,0.1143,91.053,2,2.319,1.972,40.0,28.1,0,0
